Menu ID,NomeLocale,TipologiaLocale,City,venue_address,venue_city,venue_country,venue_state,venue_rating,Sezione_drink_list,Category Name,Item_Name,Description,Price,ingredients_brand_owner,ingredients_brand,Broad_category,ingredients_categoria,Sub_Category,Ranking_Top4
1,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,El Paloma Caliente,"Altos Blanco Tequila, Amaro Montenegro, Lime Juice, Spicy Mango Agave, Grapefruit Tonic",16,Pernod Ricard,Olmeca Altos Blanco,SPIRITS,Tequila,Tequila,NO
2,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Michelada della Casa,"Altos Tequila Blanco, Peach Cordial, Pepper Mix, Soda",16.5,Pernod Ricard,Olmeca Altos Blanco,SPIRITS,Tequila,Tequila,NO
3,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Succhi di Frutta,Soft_Drinks,Ananas,,4,Unknown,Unknown,Unknown,Unknown,Unknown,YES
4,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,Bloody Smash,"Hermano Pisco Quebranta, Ancho Reyes Chilly, Tomato, Strawberry, Basil, Suchuan Pepper",15,Campari Group,Ancho Reyes Chile,SPIRITS,Tequila,Tequila,NO
5,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Amari and Liqueurs,Amaro,Ancho Reyes Chilly,,6.5,Campari Group,Ancho Reyes Chile,SPIRITS,Tequila,Tequila,NO
6,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,3 Stage Negroni,"Tanqueray London Dry Gin, Pineapple, Cocchi Americano Vermouth, Italicus Bergamot, Jim Beam Bourbon Whiskey, Cocchi Torino Vermouth, Vanilla, Campari, Banana, Selvatico Mezcal Joven, Cocchi Torino Vermouth, Coffee, Campari, Amarena",18.5,Diageo,Tanqueray,SPIRITS,Gin,Gin,NO
7,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,3 Stage Negroni,"Tanqueray London Dry Gin, Pineapple, Cocchi Americano Vermouth, Italicus Bergamot, Jim Beam Bourbon Whiskey, Cocchi Torino Vermouth, Vanilla, Campari, Banana, Selvatico Mezcal Joven, Cocchi Torino Vermouth, Coffee, Campari, Amarena",18.5,Unknown,Pineapple,OTHER,Ingredients,Ingredients,NO
8,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,3 Stage Negroni,"Tanqueray London Dry Gin, Pineapple, Cocchi Americano Vermouth, Italicus Bergamot, Jim Beam Bourbon Whiskey, Cocchi Torino Vermouth, Vanilla, Campari, Banana, Selvatico Mezcal Joven, Cocchi Torino Vermouth, Coffee, Campari, Amarena",18.5,Stock,Jim Beam Bourbon,SPIRITS,American Whisky,American Whisky,NO
9,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,3 Stage Negroni,"Tanqueray London Dry Gin, Pineapple, Cocchi Americano Vermouth, Italicus Bergamot, Jim Beam Bourbon Whiskey, Cocchi Torino Vermouth, Vanilla, Campari, Banana, Selvatico Mezcal Joven, Cocchi Torino Vermouth, Coffee, Campari, Amarena",18.5,Unknown,Vanilla,OTHER,Generic Product,Generic Product,NO
10,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,3 Stage Negroni,"Tanqueray London Dry Gin, Pineapple, Cocchi Americano Vermouth, Italicus Bergamot, Jim Beam Bourbon Whiskey, Cocchi Torino Vermouth, Vanilla, Campari, Banana, Selvatico Mezcal Joven, Cocchi Torino Vermouth, Coffee, Campari, Amarena",18.5,Campari Group,Campari,SPIRITS,Bitter,Bitter,NO
11,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,3 Stage Negroni,"Tanqueray London Dry Gin, Pineapple, Cocchi Americano Vermouth, Italicus Bergamot, Jim Beam Bourbon Whiskey, Cocchi Torino Vermouth, Vanilla, Campari, Banana, Selvatico Mezcal Joven, Cocchi Torino Vermouth, Coffee, Campari, Amarena",18.5,Unknown,Banana,OTHER,Ingredients,Ingredients,NO
12,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,3 Stage Negroni,"Tanqueray London Dry Gin, Pineapple, Cocchi Americano Vermouth, Italicus Bergamot, Jim Beam Bourbon Whiskey, Cocchi Torino Vermouth, Vanilla, Campari, Banana, Selvatico Mezcal Joven, Cocchi Torino Vermouth, Coffee, Campari, Amarena",18.5,Unknown,Coffee,OTHER,Ingredients,Ingredients,NO
13,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,3 Stage Negroni,"Tanqueray London Dry Gin, Pineapple, Cocchi Americano Vermouth, Italicus Bergamot, Jim Beam Bourbon Whiskey, Cocchi Torino Vermouth, Vanilla, Campari, Banana, Selvatico Mezcal Joven, Cocchi Torino Vermouth, Coffee, Campari, Amarena",18.5,Campari Group,Campari,SPIRITS,Bitter,Bitter,NO
14,Altrimenti Mixology Art,cocktail bar,MILANO,"Via Castelfidardo, 6, 20121 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,4.7,Mixology Art,Signature_Cocktails,3 Stage Negroni,"Tanqueray London Dry Gin, Pineapple, Cocchi Americano Vermouth, Italicus Bergamot, Jim Beam Bourbon Whiskey, Cocchi Torino Vermouth, Vanilla, Campari, Banana, Selvatico Mezcal Joven, Cocchi Torino Vermouth, Coffee, Campari, Amarena",18.5,Unknown,Amarena,OTHER,Ingredients,Ingredients,NO
