Sheet Name,Metric Category,What to Do (Planned Action),Metric Definition,"Status
(Horeca)","Status
(Jada)",Completion %,What Was Done/Comments from Document Shared,DAX Formula,Notes,Q/A,
Overview Sheet,Key Performance Indicator (KPI) Cards,Report Filters,Report Filters,Done,In Progress,50.00%,"The report filter includes time intelligence comparison mode including the YoY & QoQ, Region, City, Customer Type, Brand, Brand Owner, Macro Category, Product Category.

Other additions: ID, Venue Name, Venue Tipology",,"- The time intelligence filter was not done because there was no date column in the data (YoY & QoQ).

- Also,we didn’t have the category type column, although this could be calculated as a calculated column. 

- Macro Category is the same as Siezeone drink list and Product category is ingredients categoria.  

- We also don't have an ID column in the current data",Y,
,,Unique Venues,"The total number of unique outlets (bars, restaurants, etc.). This metric indicates the breadth of the current market view.",Done,Done,100.00%,Distinct Count of venues (Unique count of the NomeLocale),Unique Venues = DISTINCTCOUNT(MenuItems[NomeLocale]),,Y, 
,,Unique Brands,The total count of distinct brands available. This shows the level of brand diversity.,Done,Done,100.00%,Low-fidelity wireframes for the main user flows were created and reviewed.,Unique Brands = DISTINCTCOUNT(MenuItems[ingredients_brand]),,Y,
,,Total Listings,The total number of individual product entries found on menus. This is a measure of the overall market size in terms of product offerings.,Done,Done,100.00%,The total count of the individual products (ingredient category),Total Listings = COUNTROWS(MenuItems),,Y,
,,Average Price,"The average price across all listings in the current view, providing a general sense of the market's price positioning.",Done,Done,100.00%,An average of all the individual products’ prices,Average Price = AVERAGE(MenuItems[price]),,Y,
,,Cocktail Menu Penetration,"The percentage of unique venues that feature at least one cocktail on their menu, indicating the importance of cocktails in the selected market segment.",Done,Done,100.00%,Done but to be removed from the dashboard,"Cocktail Menu Penetration % = DIVIDE(
 CALCULATE( DISTINCTCOUNT(MenuItems[NomeLocale]),
 MenuItems[Sezione_drink_list] = ""Cocktail""
 ), DISTINCTCOUNT(MenuItems[NomeLocale])
)",Suggested to be removed,,
,Performance Charts:,Brand Owner Performance, A bar chart showing the Top 10 Brand Owners ranked by the number of unique venues they are present in. This is a key indicator of distribution reach and market penetration.,Done,Done,100.00%,A bar chart of the top 5 Brand Owners by the number of distinct venues they are present in,"Y-axis: Unique Venues = DISTINCTCOUNT(MenuItems[NomeLocale])
X-axis: BrandOwner",The report shared is static but what we are working on is dynamic. We are available to show you how it works using the filters in the report,Y,
,,Brand Performance,"A bar chart showing the Top 10 Brands ranked by the number of unique venues they are present in, highlighting the most widely distributed brands.",Done,Done,100.00%,A bar chart of the top 5 Brand by the number of distinct venues they are present in,"Y-axis: Unique Venues = DISTINCTCOUNT(MenuItems[NomeLocale])
X-axis: Brands",,Y,
,Market Analysis Visuals:,Share of Menu by Brand Owner, An interactive pie chart displaying each brand owner's market share based on the total number of listings. This is a direct measure of portfolio strength and volume presence on menus.,Done,Done,100.00%,"A pie chart showing the proportion of each brand owners in the total menu
For example, for a brand owner that appears in 10 menus out of 100 menu listings is 10% of the total menu.","Menu Share % = 
VAR CurrentListings = 
 COUNTROWS(MenuItems) + 0
VAR TotalListings = 
 CALCULATE(
 COUNTROWS(MenuItems), ALL(MenuItems[ingredients_brand_owner])
 ) + 0
RETURN
DIVIDE(CurrentListings, TotalListings, 0) + 0
Legend: BrandOwner",This was restricted to the top 5 also.,Y,
,,Menu Share Heatmap, A detailed table visualizing the percentage share that each brand owner holds on the menu of every individual venue. This helps identify dominance at the outlet level and understand portfolio depth.,Done,Done,100.00%,"Perfect here, but the benchmark has to be
always in the same category.","Menu Share % = 
VAR CurrentListings = 
 COUNTROWS(MenuItems) + 0
VAR TotalListings = 
 CALCULATE(
 COUNTROWS(MenuItems), ALL(MenuItems[ingredients_brand_owner])
 ) + 0
RETURN
DIVIDE(CurrentListings, TotalListings, 0) + 0
Columns: NomeLocale
Rows: BrandOwner",All categories of brand owners are displayed because the filter for category was “All” in the document shared. The filter is dynamic and can be used to select any category.,Y,
,,AI-Powered Insights,"A qualitative summary generated by the Gemini model, providing strategic analysis on market trends, brand performance, and actionable recommendations based on the filtered data.",Done,Not Done,0.00%,AI Powered Insight not readily available in PowerBI,N/A,,,
Brand Owner Sheet,Distribution & Portfolio Analysis:,Geographic Distribution Map,An interactive map of Italy showing the concentration of the brand owner's listings by region and city. It can display both absolute listing counts and relative market share to identify strongholds and weaknesses.,Done,Done,100.00%,A map visual showing the distribution of market share by venue percentage as against the region of the venue(NomeLocale).,"Listings_Market Share Parameter = {
 (""Listings"", NAMEOF('_Measures'[Total Listings]), 0),
 (""Market Share"", NAMEOF('_Measures'[Market Share by Venue %]), 1)
}
Location: Region",,Y,
,,Brand Contribution, A breakdown showing the percentage of total listings contributed by each brand within the owner's portfolio.,Done,Done,100.00%,A bar chart showing the percentage of total brands per each brands,"Y-axis: Brand
X-axis: % Grand Total = COUNTROWS(MenuItems)",,Y,
,,Hero Brand Dependency," A metric showing the percentage reliance on the top-performing brand, used to assess portfolio risk and the need for diversification.",Done,Done,100.00%,This is a dynamic parameter that divides top brand listings by total owner listings returning the value as a percentage.,"Hero Brand Dependency % = 
VAR SelectedOwner = SELECTEDVALUE(MenuItems[ingredients_brand_owner])
VAR TotalOwnerListings = 
 CALCULATE(
 COUNTROWS(MenuItems),
 MenuItems[ingredients_brand_owner] = SelectedOwner
 )
VAR TopBrandListings = 
 CALCULATE(
 COUNTROWS(MenuItems),
 TOPN(
 1, 
 VALUES(MenuItems[ingredients_brand]), 
 CALCULATE(COUNTROWS(MenuItems)),
 DESC
 )
 )
RETURN
IF(
 TotalOwnerListings = 0 || ISBLANK(TotalOwnerListings),
 0,
 DIVIDE(TopBrandListings, TotalOwnerListings, 0)
)",,Y,
,,Category Coverage,,Done,Done,100.00%,A card visual showing the strong presence and potential gaps of the ingredients category as matched against the competitors.,"Strong Presence = 
CONCATENATEX (
 VALUES ( MenuItems[ingredients_categoria] ),
 MenuItems[ingredients_categoria],
 "", ""
)
Potential Gaps = 
CONCATENATEX (
 EXCEPT (
 ALL (MenuItems[ingredients_categoria] ),
 VALUES ( MenuItems[ingredients_categoria] )
 ),
 [ingredients_categoria],
 "", ""
)",,Y,
,,Distribution Depth (SKU per Outlet),"A key metric calculating the average number of products (SKUs) the owner has in each venue where they are listed. This measures the depth of penetration beyond just presence, indicating how well they are leveraging their portfolio in each outlet.",Done,Done,100.00%,This is a dynamic parameter metric showing the presence of each brand as against their venues.,"Distribution Depth = DIVIDE(
 COUNTROWS(MenuItems),
 DISTINCTCOUNT(MenuItems[NomeLocale])
)",,Y,
,Strategic Opportunity Analysis:,Channel Penetration Chart," A bar chart showing the brand owner's penetration percentage within each customer channel (Bar, Hotel, Club, etc.), comparing their presence against the total number of venues in that channel.",Done,In Progress,50.00%,A combination of card visuals showing the brand owner penetration. This divides the distinct count  of venues with the selected brandowner by the distinct count of total brandowners,,We took this out as per his instruction,,
,,White Spots Analysis,"A strategic table that identifies growth opportunities by listing the Region and Customer Type combinations where the selected brand owner is absent, but their key competitors are present. This provides a clear roadmap for sales team expansion efforts",Done,Done,100.00%,The is a table  visual that shows the locations where a brand owner is absent but the competitors are present,"_Competitors_Present_List = 
CALCULATE(
 CONCATENATEX( VALUES(MenuItems[ingredients_brand_owner]), MenuItems[ingredients_brand_owner],
 "", ""
 ), REMOVEFILTERS(MenuItems[ingredients_brand_owner]),
 MenuItems[ingredients_brand_owner] <> SELECTEDVALUE(MenuItems[ingredients_brand_owner])
)",,,
Brand Sheet,Key Performance Indicator (KPI) Cards:,Average Price,The average menu price for the selected brand.,Done,Done,100.00%,A card visual showing the average price for each selected brand filtered.,Average Price = AVERAGE(MenuItems[price]),,Y,
,,Price Index vs Category,"An index showing how the brand's average price compares to the average price of its product category. A value of 100 means it's priced at the category average, helping to assess its price positioning (e.g., value, premium).",Done,Done,100.00%,This is a card visual displaying the % of a brand’s  average price against the category’s average price.,"Price Index vs Category = VAR BrandAvg = AVERAGE(MenuItems[price])
VAR CategoryAvg = 
 CALCULATE(
 AVERAGE(MenuItems[price]),
 ALLEXCEPT(MenuItems, MenuItems[ingredients_categoria])
 )
RETURN DIVIDE(BrandAvg, CategoryAvg) * 100",,Y,
,,Category Penetration," Measures the brand's market share within its own category. It answers the question: ""Of all 'Gin' listings, what percentage are this specific brand?""",Done,Done,100.00%,A card visual showing the % of a brand listing against the category listing,"Category Penetration % = VAR BrandListings = COUNTROWS(MenuItems)
VAR CategoryListings = 
 CALCULATE(
 COUNTROWS(MenuItems),
 ALLEXCEPT(MenuItems, MenuItems[ingredients_categoria])
 )
RETURN DIVIDE(BrandListings, CategoryListings)",,Y,
,,Cocktail Presence Rate,"For spirits, this measures the brand's share of voice within cocktails. It answers: ""When a cocktail is made with a 'Gin', what percentage of the time is it this specific brand?"" This is a crucial metric for spirits used as ingredients.",Done,Done,100.00%,A card visual showing the % of Brands (siezeone drink list) in Cocktails against category (ingredients category) in cocktails,"Cocktail Presence Rate % = VAR BrandInCocktails = 
 CALCULATE(
 COUNTROWS(MenuItems),
 MenuItems[Sezione_drink_list] = ""Cocktail""
 )
VAR CategoryInCocktails = 
 CALCULATE(
 COUNTROWS(MenuItems),
 MenuItems[Sezione_drink_list] = ""Cocktail"",
 ALLEXCEPT(MenuItems, MenuItems[ingredients_categoria])
 )
RETURN DIVIDE(BrandInCocktails, CategoryInCocktails) * 100",,,
,,Top 4 Position Rate,The percentage of venues where the brand is listed among the top 4 most expensive products in its category. This is a strong indicator of its premium positioning and perceived quality by the venue.,Done,Done,100.00%,A card visual displaying % of top 4 venues against the total venues,"Top 4 Position Rate % = VAR Top4Venues = 
 CALCULATE(
 DISTINCTCOUNT(MenuItems[NomeLocale]),
 MenuItems[ranking_top4] = ""YES""
 )
VAR TotalVenues = DISTINCTCOUNT(MenuItems[NomeLocale])
RETURN DIVIDE(Top4Venues, TotalVenues)",,,
,Competitive Analysis:,Competitive Landscape Table," A table comparing the selected brand against its Top 5 competitors within the same category, showing total listings and average price. This provides a direct competitive benchmark.",Done,In Progress,50.00%,"A table displaying various brands, their listings and average price.","Columns:
Brand

Total Listings = COUNTROWS(MenuItems)

Average Price = AVERAGE(MenuItems[price])",,,
,,Co-occurrence Table,"An analysis showing which competitor brands are most frequently found on the same menu as the selected brand, indicating the most direct rivals at the venue level.",Done,In Progress,50.00%,,,,,
Drink Strategy Sheet,Cocktail-Specific Metrics:,Cocktail Brand Usage Chart,"When a cocktail (e.g., ""Negroni"") is selected, this chart compares the number of unique venues using the selected brand versus all competitor brands for that specific drink.",Done,Done,100.00%,,,,,
,,Cocktail Venue Table," A detailed list of every venue serving the selected cocktail, showing which brand, they use and at what price point, allowing for granular analysis of recipe strategies.",Done,Done,100.00%,,,,,
,,,,,,,,,,,
,,,,,Percentage of Completion,82.76%,,,,,
