Region,City,Venue_Name,Customer_Type,BrandOwner,Brand,MacroCategory,Product_Category,CocktailName,Price,Top4
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Brown forman,Gin mare,SPIRITS,Gin,Gin Mare Negroni,13,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Gin Mare Negroni,13,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Gin Mare Negroni,13,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Americano,12,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Americano,12,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Various,Soda,SOFT DRINKS,Soda,Americano,12,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Diageo,Captain Morgan Jamaica Dark,SPIRITS,Rum,Dark & Stormy,13,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Fever-tree,Ginger Beer,SOFT DRINKS,Mixer,Dark & Stormy,13,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Diageo,Baileys Original Irish Cream,SPIRITS,Liquore,Espresso Martini,13,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Various,Vodka,SPIRITS,Vodka,Espresso Martini,13,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Various,Espresso,SOFT DRINKS,Coffee,Espresso Martini,13,Yes
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Boulevardier,13,No
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Boulevardier,13,No
Lombardia,Milano,The Bohemien Spirits,RISTORANTE,Campari group,Wild turkey 101 proof,SPIRITS,American Whisky,Boulevardier,13,No
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Diageo,Captain Morgan Jamaica Dark,SPIRITS,Rum,Dark & Stormy,12,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Fever-tree,Ginger Beer,SOFT DRINKS,Mixer,Dark & Stormy,12,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Bacardi Martini,aperitivo martini rosato,SPIRITS,Aperitivi,Martini Rosato Spritz,14,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Various,Prosecco,WINE,Sparkling Wine,Martini Rosato Spritz,14,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Various,Soda,SOFT DRINKS,Soda,Martini Rosato Spritz,14,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Daiquiri,12,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Various,Lime Juice,SOFT DRINKS,Juice,Daiquiri,12,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Various,Sugar Syrup,OTHER,Syrup,Daiquiri,12,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Mavolo,Gin amuerte coca leaf red,SPIRITS,Gin,Amuerte Red Negroni,18,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Campari group,Bitter campari cask tales bourbon barrel finished,SPIRITS,Bitter,Amuerte Red Negroni,18,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Bacardi Martini,Martini rosso vermouth,SPIRITS,Vermouth,Amuerte Red Negroni,18,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Bacardi Martini,Rum Bacardi Carta Blanca,SPIRITS,Rum,Daiquiri,12,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Various,Lime Juice,SOFT DRINKS,Juice,Daiquiri,12,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Various,Sugar Syrup,OTHER,Syrup,Daiquiri,12,Yes
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Diageo,Gin Tanqueray,SPIRITS,Gin,Gin Tonic Tanqueray,13,No
Lombardia,Milano,Club Noir Cocktails,LOUNGE BAR,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Gin Tonic Tanqueray,13,No
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Mavolo,Gin amuerte coca leaf black,SPIRITS,Gin,Amuerte Black Tonic,14,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Amuerte Black Tonic,14,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Diageo,Captain Morgan Jamaica Dark,SPIRITS,Rum,Dark & Stormy,11,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Fever-tree,Ginger Beer,SOFT DRINKS,Mixer,Dark & Stormy,11,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Pernod ricard,Gin malfy limone,SPIRITS,Gin,Malfy GT Limone,12,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Malfy GT Limone,12,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Mavolo,Gin amuerte coca leaf blue,SPIRITS,Gin,Amuerte Blue Collins,14,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Various,Lemon Juice,SOFT DRINKS,Juice,Amuerte Blue Collins,14,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Various,Sugar Syrup,OTHER,Syrup,Amuerte Blue Collins,14,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Various,Soda,SOFT DRINKS,Soda,Amuerte Blue Collins,14,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Pernod ricard,Gin malfy limone,SPIRITS,Gin,Malfy GT Limone,14,Yes
Lombardia,Bergamo,Club Modern Corner,RISTORANTE,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Malfy GT Limone,14,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Diageo,Gin tanqueray n. ten,SPIRITS,Gin,Gin Tonic Ten,15,Yes
Lombardia,Bergamo,Caffè Segreto Lounge,HOTEL BAR,Fever-tree,Fever-Tree Tonic,SOFT DRINKS,Tonica,Gin Tonic Ten,15,Yes
